;Equipos;Puntos;fixture;season
676;Cobresal;4;4;2021
677;Union Espanola;3;4;2021
678;Santiago Wanderers;0;4;2021
679;A. Italiano;11;5;2021
680;Colo Colo;10;5;2021
681;O'Higgins;9;5;2021
682;U. Catolica;9;5;2021
683;Union La Calera;8;5;2021
684;Palestino;7;5;2021
685;Antofagasta;7;5;2021
686;Nublense;7;5;2021
687;D. La Serena;6;5;2021
688;Everton de Vina;6;5;2021
689;Huachipato;5;5;2021
690;Curico Unido;5;5;2021
691;Universidad de Chile;5;5;2021
692;D. Melipilla;4;5;2021
693;Union Espanola;4;5;2021
694;Cobresal;4;5;2021
695;Santiago Wanderers;0;5;2021
696;A. Italiano;12;6;2021
697;O'Higgins;12;6;2021
698;Union La Calera;11;6;2021
699;Nublense;10;6;2021
700;Colo Colo;10;6;2021
701;U. Catolica;9;6;2021
702;D. La Serena;9;6;2021
703;Universidad de Chile;8;6;2021
704;Antofagasta;7;6;2021
705;D. Melipilla;7;6;2021
706;Palestino;7;6;2021
707;Cobresal;7;6;2021
708;Everton de Vina;6;6;2021
709;Curico Unido;5;6;2021
710;Union Espanola;5;6;2021
711;Huachipato;5;6;2021
712;Santiago Wanderers;0;6;2021
713;A. Italiano;13;7;2021
714;D. La Serena;12;7;2021
715;U. Catolica;12;7;2021
716;O'Higgins;12;7;2021
717;Union La Calera;11;7;2021
718;Universidad de Chile;11;7;2021
719;D. Melipilla;10;7;2021
720;Nublense;10;7;2021
721;Palestino;10;7;2021
722;Colo Colo;10;7;2021
723;Union Espanola;8;7;2021
724;Cobresal;8;7;2021
725;Antofagasta;7;7;2021
726;Everton de Vina;6;7;2021
727;Curico Unido;6;7;2021
728;Huachipato;6;7;2021
729;Santiago Wanderers;0;7;2021
730;A. Italiano;16;8;2021
731;Nublense;13;8;2021
732;Colo Colo;13;8;2021
733;O'Higgins;13;8;2021
734;D. La Serena;12;8;2021
735;U. Catolica;12;8;2021
736;Union La Calera;11;8;2021
737;Union Espanola;11;8;2021
738;Universidad de Chile;11;8;2021
739;D. Melipilla;11;8;2021
740;Cobresal;11;8;2021
741;Palestino;10;8;2021
742;Everton de Vina;9;8;2021
743;Antofagasta;8;8;2021
744;Curico Unido;6;8;2021
745;Huachipato;6;8;2021
746;Santiago Wanderers;1;8;2021
747;A. Italiano;19;9;2021
748;O'Higgins;16;9;2021
749;D. La Serena;15;9;2021
750;U. Catolica;15;9;2021
751;Union La Calera;14;9;2021
752;Union Espanola;14;9;2021
753;Nublense;13;9;2021
754;Colo Colo;13;9;2021
755;Everton de Vina;12;9;2021
756;Universidad de Chile;11;9;2021
757;Antofagasta;11;9;2021
758;D. Melipilla;11;9;2021
759;Cobresal;11;9;2021
760;Palestino;10;9;2021
761;Curico Unido;6;9;2021
762;Huachipato;6;9;2021
763;Santiago Wanderers;1;9;2021
764;A. Italiano;19;10;2021
765;U. Catolica;18;10;2021
766;Union La Calera;17;10;2021
767;O'Higgins;16;10;2021
768;Colo Colo;16;10;2021
769;Nublense;16;10;2021
770;Union Espanola;15;10;2021
771;D. La Serena;15;10;2021
772;D. Melipilla;14;10;2021
773;Everton de Vina;13;10;2021
774;Universidad de Chile;12;10;2021
775;Antofagasta;12;10;2021
776;Palestino;11;10;2021
777;Cobresal;11;10;2021
778;Huachipato;7;10;2021
779;Curico Unido;6;10;2021
780;Santiago Wanderers;1;10;2021
781;A. Italiano;20;11;2021
782;Union La Calera;20;11;2021
783;U. Catolica;19;11;2021
784;D. La Serena;18;11;2021
785;Nublense;17;11;2021
786;Colo Colo;17;11;2021
787;O'Higgins;17;11;2021
788;Union Espanola;15;11;2021
789;Universidad de Chile;15;11;2021
790;Antofagasta;15;11;2021
791;Everton de Vina;14;11;2021
792;D. Melipilla;14;11;2021
793;Cobresal;12;11;2021
794;Palestino;11;11;2021
795;Huachipato;8;11;2021
796;Curico Unido;6;11;2021
797;Santiago Wanderers;1;11;2021
798;U. Catolica;22;12;2021
799;A. Italiano;21;12;2021
800;Union La Calera;21;12;2021
801;D. La Serena;19;12;2021
802;Nublense;18;12;2021
803;Universidad de Chile;18;12;2021
804;Colo Colo;18;12;2021
805;Everton de Vina;17;12;2021
806;O'Higgins;17;12;2021
807;Antofagasta;16;12;2021
808;D. Melipilla;15;12;2021
809;Union Espanola;15;12;2021
810;Palestino;14;12;2021
811;Cobresal;12;12;2021
812;Huachipato;9;12;2021
813;Curico Unido;6;12;2021
814;Santiago Wanderers;1;12;2021
815;Union La Calera;24;13;2021
816;U. Catolica;22;13;2021
817;A. Italiano;21;13;2021
818;Colo Colo;21;13;2021
819;Everton de Vina;20;13;2021
820;Nublense;19;13;2021
821;Antofagasta;19;13;2021
822;Universidad de Chile;19;13;2021
823;D. La Serena;19;13;2021
824;O'Higgins;18;13;2021
825;Union Espanola;18;13;2021
826;D. Melipilla;16;13;2021
827;Palestino;14;13;2021
828;Cobresal;13;13;2021
829;Huachipato;9;13;2021
830;Curico Unido;7;13;2021
831;Santiago Wanderers;1;13;2021
