Unnamed: 0;season;league;team;id_player;id_name;first_name;last_name;age;height;weight;appearence;lineup;minutes;position;rating;shots_total;shots_on;goles;goles_conceded;goles_assists;goles_saves;passes_total;passes_key;passes_accuracy;tackles_total;tackles_blocks;tackles_interceptions;duels_total;duels_wom;dribbles_total;dribbles_success;fouls_drawn;fouls_committed;card_yellow;card_red;penalty_won;penalty_commited;penalty_scored;penalty_missed;penalty_saved;name;Periodo;shot_on_app;goles_assistes_app;goles_app;goles_saves_app;passes_key_app;tackles_blocks_app;tackles_interceptions_app;fouls_committed_app;card_yellow_app;card_red_app;penalty_won_app;penalty_commited_app;penalty_scored_app;penalty_missed_app;penalty_saved_app;duels_wom_app;dribbles_success_app;lineup_app;goles_conceded_app;age_n;height_r;passes_accuracy_r;rank;total_line_up;total_line_up_per
303;2021;265;2326;11424;W. Alarcón;William Héctor;Alarcón Cepeda;22.0;0.0;0.0;10.0;4.0;446.0;Midfielder;6.4;0.0;0.0;2.0;0.0;0.0;0.0;36.0;0.0;11.0;2.0;1.0;0.0;4.0;2.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;Union La Calera;2021;0.0;0.0;0.24347826086956526;0.0;0.0;0.025;0.0;0.0;0.06666666666666667;0.0;0.0;0.0;0.0;0.0;0.0;0.011940298507462687;0.0;0.4;0.0;0.4761904761904763;0.0;0.11;2.6677977145456455;33;0.30303030303030304
304;2021;265;2326;6616;Gonzalo Pablo Castellani;Gonzalo Pablo;Castellani;35.0;183.0;75.0;24.0;24.0;1917.0;Midfielder;7.117391;16.0;4.0;1.0;0.0;2.0;0.0;1356.0;24.0;47.0;66.0;8.0;25.0;310.0;181.0;49.0;31.0;55.0;38.0;10.0;1.0;0.0;0.0;1.0;1.0;0.0;Union La Calera;2021;0.09999999999999999;0.08333333333333333;0.050724637681159424;0.0;0.3225806451612903;0.08333333333333333;0.13020833333333334;0.26388888888888884;0.2777777777777778;0.041666666666666664;0.0;0.0;0.10416666666666666;0.20833333333333331;0.0;0.4502487562189055;0.3875;1.0;0.0;0.16666666666666674;0.9336734693877552;0.47;26.080949834338362;33;0.7272727272727273
305;2021;265;2326;199841;A. Moreno;Abel Eric;Moreno Vargas;20.0;0.0;0.0;2.0;0.0;10.0;Midfielder;6.2;0.0;0.0;0.0;0.0;0.0;0.0;9.0;0.0;3.0;1.0;0.0;1.0;4.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Union La Calera;2021;0.0;0.0;0.0;0.0;0.0;0.0;0.0625;0.08333333333333333;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.029850746268656716;0.0;0.0;0.0;0.5238095238095238;0.0;0.03;0.0;33;0.06060606060606061
306;2021;265;2326;344344;A. Lacalle;Andrés Patricio;Lacalle de la Fuente;20.0;0.0;0.0;1.0;0.0;6.0;Midfielder;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Union La Calera;2021;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.5238095238095238;0.0;0.0;0.0;33;0.030303030303030304
307;2021;265;2326;311303;D. Martínez;Diego Jesús;Martínez Fierro;20.0;184.0;80.0;0.0;0.0;0.0;Midfielder;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Union La Calera;2021;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.5238095238095238;0.9387755102040817;0.0;0.0;33;0.0
312;2021;265;2326;12151;V. González;Víctor Miguel;González Chang;28.0;178.0;80.0;17.0;14.0;1057.0;Midfielder;6.815384;2.0;1.0;0.0;0.0;0.0;0.0;536.0;7.0;31.0;20.0;10.0;18.0;102.0;54.0;5.0;4.0;8.0;19.0;3.0;1.0;0.0;0.0;0.0;0.0;0.0;Union La Calera;2021;0.03529411764705882;0.0;0.0;0.0;0.13282732447817835;0.14705882352941177;0.1323529411764706;0.18627450980392157;0.11764705882352941;0.058823529411764705;0.0;0.0;0.0;0.0;0.0;0.189640035118525;0.07058823529411765;0.8235294117647058;0.0;0.33333333333333337;0.9081632653061225;0.31;8.43711818546365;33;0.5151515151515151
313;2021;265;2327;11770;M. Lepe;Michael;Lepe;32.0;0.0;0.0;0.0;0.0;0.0;Midfielder;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Antofagasta;2021;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.23809523809523814;0.0;0.0;0.0;33;0.0
315;2021;265;2327;80828;Sebastián Enrique Ballesteros Soto;Sebastián Enrique;Ballesteros Soto;22.0;0.0;0.0;3.0;1.0;89.0;Midfielder;6.8;0.0;0.0;0.0;0.0;0.0;0.0;26.0;1.0;11.0;3.0;0.0;0.0;12.0;7.0;7.0;3.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Antofagasta;2021;0.0;0.0;0.0;0.0;0.1075268817204301;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.13930348258706468;0.3;0.3333333333333333;0.0;0.4761904761904763;0.0;0.11;5.890874369676443;33;0.09090909090909091
317;2021;265;2327;11772;C. Rojas;Cristián Manuel;Rojas Sanhueza;37.0;171.0;0.0;2.0;1.0;50.0;Midfielder;6.5;0.0;0.0;0.0;0.0;0.0;0.0;27.0;0.0;25.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Antofagasta;2021;0.0;0.0;0.0;0.0;0.0;0.0;0.0625;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.5;0.0;0.11904761904761907;0.8724489795918368;0.25;0.0;33;0.06060606060606061
320;2021;265;2327;11670;Leonardo Nicolás Povea Pérez;Leonardo Nicolás;Povea Pérez;28.0;0.0;0.0;2.0;0.0;0.0;Midfielder;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Antofagasta;2021;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.33333333333333337;0.0;0.01;0.0;33;0.06060606060606061
325;2021;265;2327;51554;Lucas Agustín Ocampo Galván;Lucas Agustín;Ocampo Galván;25.0;169.0;71.0;11.0;6.0;514.0;Midfielder;6.61;6.0;2.0;0.0;0.0;0.0;0.0;172.0;10.0;12.0;5.0;0.0;4.0;68.0;30.0;20.0;8.0;14.0;7.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Antofagasta;2021;0.10909090909090909;0.0;0.0;0.0;0.29325513196480935;0.0;0.045454545454545456;0.10606060606060605;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.16282225237449116;0.21818181818181817;0.5454545454545454;0.0;0.40476190476190477;0.8622448979591837;0.12;19.651956897240613;33;0.3333333333333333
